Restaurant_Link,Name,Ratings,Cuisine
https://www.grubhub.com/restaurant/la-nueva-bakery-86-10-37th-ave-queens/4479880,La Nueva Bakery,9 ratings,Bakery
https://www.grubhub.com/restaurant/relapse-wraps-740-10th-ave-new-york/5268264,Relapse Wraps,NA,Sandwich
https://www.grubhub.com/restaurant/for-five-coffee-roasters----brookfield-place-225-liberty-st-new-york/2368674,For Five Coffee Roasters - Brookfield Place,13 ratings,Coffee and Tea
https://www.grubhub.com/restaurant/838-180th-deli-grocery-corp-838-e-180th-st-the-bronx/2193273,838 180th deli grocery Corp,58 ratings,Convenience
https://www.grubhub.com/restaurant/rite-aid-60-26-woodside-ave-woodside/4437120,Rite Aid,31 ratings,Convenience
https://www.grubhub.com/restaurant/amore-italiano-699-classon-ave-brooklyn/3132500,Amore Italiano,6 ratings,Italian
https://www.grubhub.com/restaurant/the-sandwich-cafe-774-broadway-brooklyn/2816971,The Sandwich Cafe,NA,sandwich
https://www.grubhub.com/restaurant/eat-cafe-1064-madison-ave-new-york/2732270,E.A.T. Cafe,7 ratings,Breakfast
https://www.grubhub.com/restaurant/cvs-100-02-queens-boulevard-forest-hills/7187064,CVS,25 ratings,Convenience
https://www.grubhub.com/restaurant/janes-juice-bar-38-01-vernon-blvd-long-island-city/5853280,Jane's Juice Bar,NA,Fast Food
https://www.grubhub.com/restaurant/downtown-organic-market-24-4th-ave-brooklyn/2970221,Downtown Organic Market,75 ratings,Grocery Items
https://www.grubhub.com/restaurant/shwarma-grill-1201-castle-hill-ave-bronx/1229930,Shwarma Grill,128 ratings,Mediterranean
https://www.grubhub.com/restaurant/all-about-breakfast-629-church-ave-brooklyn/3245947,All About Breakfast,NA,Breakfast
https://www.grubhub.com/restaurant/panini-point-69-48-main-st-queens/6715528,Panini Point,NA,Sandwich
https://www.grubhub.com/restaurant/green-olive-161-e-116th-st-new-york/325442,Green Olive,436 ratings,Breakfast
https://www.grubhub.com/restaurant/the-one-breakfast-burrito-481-amsterdam-ave-new-york/3246049,The One Breakfast Burrito,9 ratings,Breakfast
https://www.grubhub.com/restaurant/shawarma-king-145-w-kingsbridge-rd-bronx/6575008,Shawarma King,6 ratings,Mediterranean
https://www.grubhub.com/restaurant/burrito-n-shine-154-7th-ave-new-york/5268096,Burrito N Shine,NA,Breakfast
https://www.grubhub.com/restaurant/le-cafe-coffee-661-lexington-ave-new-york/743908,Le Cafe Coffee,163 ratings,Coffee and Tea
https://www.grubhub.com/restaurant/goldies-burgers--fries-112-hillside-avenue-williston-park/4809232,Goldies Burgers & Fries,NA,Hamburger
https://www.grubhub.com/restaurant/cafe-take-5-560-northern-blvd-great-neck/3336907,Cafe Take 5,NA,Salads
https://www.grubhub.com/restaurant/anytime-breakfast-sandwiches-4-3579-victory-blvd-staten-island/3199056,Anytime Breakfast Sandwiches (4),NA,Breakfast
https://www.grubhub.com/restaurant/gold-coffee-491-3rd-ave-new-york/6829320,Gold coffee,NA,Coffee and Tea
https://www.grubhub.com/restaurant/croissant-club-1735-washington-ave-bronx/3252578,Croissant Club,NA,Lunch
